satisfaction,evaluation,project_count,tenure,left
0.22,0.91,5,7,0
0.96,0.99,2,3,0
0.5,0.59,4,2,0
0.27,0.88,3,10,0
0.59,0.84,7,2,1
0.89,0.7,4,1,0
0.76,0.97,4,5,0
0.83,0.44,4,6,0
0.69,0.38,2,6,0
0.72,0.9,2,9,0
0.86,0.61,3,4,0
0.32,0.89,6,1,1
0.54,0.93,6,6,0
0.3,0.34,6,5,0
0.99,0.92,7,10,0
0.95,0.61,7,6,0
0.14,0.66,3,3,0
0.74,0.74,7,2,1
0.93,0.95,6,6,1
0.26,0.31,6,1,0
0.61,0.63,4,7,0
0.92,0.78,7,7,1
0.13,0.81,2,10,0
0.73,0.78,2,7,0
0.37,0.39,4,10,0
0.93,0.51,4,1,0
0.97,0.55,4,4,0
0.95,0.86,2,7,0
0.53,0.5,6,9,1
0.88,0.45,4,5,0
0.86,0.97,3,2,0
0.39,0.31,4,7,0
0.85,1.0,5,10,0
0.13,0.77,4,1,1
0.64,0.88,2,7,1
0.31,0.51,7,6,1
0.21,0.31,4,7,0
0.17,0.82,7,10,1
0.73,0.88,5,3,0
0.41,0.82,3,3,0
0.75,0.4,7,7,0
0.16,0.83,6,2,0
0.38,0.84,4,1,0
0.59,0.76,5,9,0
0.81,0.84,5,9,0
0.39,0.89,7,7,0
0.66,0.73,3,7,0
0.9,0.36,2,3,0
0.65,0.64,4,10,1
0.31,0.35,5,2,0
0.12,0.59,3,7,0
0.88,0.58,6,9,1
0.12,0.35,5,1,0
0.89,0.54,3,4,1
0.58,0.38,2,6,1
0.95,0.87,2,7,0
0.82,0.96,5,10,1
1.0,0.35,5,7,0
0.42,0.97,7,10,0
0.79,0.67,4,2,0
0.46,0.51,3,4,0
0.53,0.35,5,5,1
0.66,0.65,4,1,0
0.89,0.86,7,1,0
0.99,0.79,4,10,0
0.79,0.34,5,3,0
0.48,0.35,2,10,0
0.48,0.58,3,3,0
0.76,0.51,3,8,1
0.31,0.46,2,9,0
0.2,0.5,5,1,1
0.42,0.86,3,2,0
0.36,0.95,5,10,1
0.37,0.58,7,2,1
0.31,0.93,5,4,0
0.14,0.53,4,2,0
0.12,0.63,2,7,1
0.99,0.46,5,9,0
0.48,0.75,7,7,1
0.45,0.99,6,6,0
0.71,0.72,2,10,0
0.3,0.55,3,1,0
0.95,0.75,4,10,1
0.81,0.39,3,9,0
0.18,0.92,7,5,1
0.48,0.65,7,5,1
0.89,0.61,3,6,0
0.95,0.71,2,9,0
0.52,0.74,3,8,1
0.65,0.35,5,8,0
0.25,0.78,3,8,1
0.99,0.47,4,1,0
0.31,0.8,4,1,0
0.95,0.88,6,8,1
0.68,0.86,4,5,0
0.65,0.69,3,9,0
0.56,0.66,4,2,0
0.31,0.4,2,9,0
0.26,0.84,4,8,0
0.3,0.49,5,9,1
0.27,0.65,2,4,0
0.8,0.5,6,1,0
0.42,0.39,5,1,0
0.15,0.74,3,5,0
0.97,0.34,3,2,0
0.9,0.82,3,8,1
0.93,0.52,5,10,0
1.0,0.3,5,5,0
0.26,0.66,5,5,0
0.46,0.33,2,2,0
0.78,0.49,7,7,0
0.73,0.79,2,8,0
0.24,0.34,3,10,0
0.83,0.89,7,1,0
0.3,0.3,4,2,0
0.3,0.47,3,10,0
0.58,0.82,6,4,1
0.63,0.52,2,5,0
0.62,0.37,5,2,0
0.18,0.55,2,1,0
0.89,0.49,5,9,0
0.34,0.89,7,1,1
0.22,0.52,6,4,0
0.9,0.85,7,2,0
0.96,0.92,6,4,0
0.88,0.6,2,8,0
0.83,0.94,5,8,0
0.69,0.56,7,9,0
0.6,0.97,6,5,0
0.18,0.36,3,7,0
0.47,0.78,3,3,0
0.44,0.65,7,10,1
0.33,0.57,5,4,0
0.75,0.74,7,10,1
0.55,0.79,2,9,0
0.17,0.3,6,10,0
0.3,0.42,2,10,0
0.71,0.8,3,1,1
0.17,0.77,6,2,0
0.87,0.98,7,5,0
0.55,0.83,2,3,0
0.53,0.97,4,2,0
0.63,0.79,5,1,0
0.84,0.51,5,10,0
0.41,0.37,4,3,1
0.71,0.85,3,1,1
0.61,0.75,6,1,0
0.34,0.33,5,1,0
0.89,0.55,4,8,1
0.82,0.97,7,3,0
0.69,0.65,4,1,0
0.87,0.6,3,7,0
0.88,0.62,3,10,0
0.74,0.45,2,3,0
0.85,0.56,5,8,0
0.73,0.56,2,4,0
0.71,0.34,4,4,0
0.66,0.84,6,5,0
0.78,0.59,6,6,0
0.24,0.88,3,7,1
0.89,0.9,6,4,0
0.88,0.45,6,8,0
0.13,0.76,6,6,1
0.84,0.63,4,1,0
0.22,0.92,6,1,0
0.4,0.45,7,9,0
0.77,0.77,6,10,1
0.24,0.73,6,6,1
0.84,0.51,2,10,1
0.85,0.4,4,8,1
0.56,0.76,3,7,0
0.11,0.82,2,6,0
0.36,0.52,5,4,0
0.66,0.75,4,7,0
0.98,0.58,7,9,0
0.67,0.8,4,10,0
0.33,0.44,5,10,0
0.67,0.92,5,7,0
0.59,0.5,5,1,0
0.8,0.56,3,10,0
0.2,0.34,6,9,0
0.78,0.38,4,4,0
0.59,0.66,6,3,0
0.97,0.49,6,4,0
0.41,0.88,7,4,1
0.67,0.31,5,10,0
0.94,0.57,3,2,0
0.19,0.54,7,1,0
0.94,0.31,2,10,0
0.72,0.39,3,1,0
0.16,0.59,6,8,1
0.37,0.65,3,2,1
0.74,0.58,5,10,0
0.16,0.67,2,5,1
0.62,0.72,5,4,0
0.41,0.31,2,8,1
0.66,0.62,7,2,0
0.14,0.97,6,10,0
0.88,0.66,2,9,0
0.98,0.77,2,7,1
0.97,0.52,2,7,0
0.77,0.84,3,1,0
0.22,0.84,7,2,1
0.78,0.66,3,4,0
0.12,0.98,6,4,0
0.12,0.39,2,3,0
0.39,0.31,7,7,0
0.54,0.84,7,8,1
0.79,0.87,4,2,0
0.71,0.38,6,4,0
0.5,0.49,7,3,1
0.35,0.31,2,2,0
1.0,0.51,2,6,0
0.48,0.84,7,4,0
0.51,0.66,3,6,0
0.25,0.54,6,2,0
0.82,0.56,2,4,1
0.72,0.3,7,6,1
0.3,0.51,2,5,0
0.17,0.75,7,3,0
0.71,0.98,6,8,1
0.69,0.89,7,7,1
0.35,0.32,4,3,1
0.96,0.93,7,6,0
0.24,0.85,7,4,1
0.49,0.85,6,5,0
0.95,0.62,7,5,0
0.48,0.58,6,7,0
0.67,0.51,4,5,0
0.46,0.35,6,3,0
0.35,0.46,2,10,0
0.99,0.47,6,5,0
0.47,0.64,4,7,1
0.9,0.82,5,5,0
0.31,0.63,7,5,0
0.29,0.34,6,9,1
0.13,0.97,7,3,1
0.69,0.96,3,6,0
0.43,0.85,2,1,0
0.88,0.99,2,10,0
0.53,0.68,3,5,0
0.97,0.97,3,8,1
0.27,0.35,6,5,0
0.88,0.56,3,9,0
0.8,0.46,5,6,1
0.79,0.44,7,8,0
0.86,0.4,7,10,0
0.78,0.74,4,8,0
0.66,0.85,3,3,0
0.22,0.7,3,7,0
0.13,0.4,5,7,0
0.93,0.87,2,10,0
0.65,0.75,2,6,1
0.82,0.57,7,7,0
0.53,0.77,7,2,1
0.21,0.48,6,9,0
0.21,0.54,5,10,0
0.72,0.94,4,10,0
0.49,0.5,4,1,1
0.28,0.63,5,1,1
0.54,0.92,4,3,0
0.16,0.8,2,3,1
0.62,0.34,4,1,0
0.34,0.4,4,7,1
0.82,0.31,5,4,0
0.38,0.74,5,10,1
0.51,0.61,4,2,0
0.11,0.39,3,10,0
0.17,0.97,5,5,0
0.45,0.67,6,6,0
0.53,0.47,6,9,1
0.64,0.65,2,4,0
0.36,0.78,4,2,0
0.73,0.35,3,5,0
0.87,0.49,2,3,0
0.8,0.86,4,2,0
0.14,0.62,5,1,1
0.53,0.68,6,10,0
0.19,0.6,7,2,0
0.32,0.33,3,6,1
0.99,0.42,7,8,0
0.23,0.61,6,3,0
0.55,0.45,7,9,0
0.66,0.33,5,9,0
0.73,0.89,4,2,1
0.6,0.99,5,8,0
0.11,0.86,7,10,0
0.39,0.9,5,5,0
0.57,0.47,6,4,0
0.18,0.97,3,10,1
0.42,0.44,5,5,0
0.13,0.97,6,4,0
0.17,1.0,3,8,0
0.46,0.8,4,4,0
0.22,0.99,7,10,0
0.61,0.7,4,6,1
0.72,0.48,2,2,0
0.82,0.61,6,5,1
0.28,0.72,3,6,1
0.25,0.35,5,5,0
0.19,0.74,4,2,0
0.67,0.99,3,7,1
0.74,0.43,6,4,1
0.13,0.85,2,8,1
0.94,0.94,4,7,0
0.15,0.96,7,7,0
0.59,0.97,3,9,1
0.74,0.67,7,1,0
0.88,0.98,3,10,1
0.74,0.83,3,6,0
0.82,0.41,6,6,0
0.41,0.63,6,6,0
0.83,0.8,6,6,1
0.17,0.47,5,10,0
0.91,0.75,3,7,0
0.59,0.77,4,10,1
0.84,0.41,7,6,0
0.51,0.7,6,1,1
0.68,0.84,6,3,0
0.57,0.65,7,2,1
0.76,0.31,7,6,0
0.17,0.31,3,8,1
0.15,0.55,6,3,1
0.32,0.95,7,10,0
0.24,0.46,5,8,0
0.88,0.74,5,8,0
0.3,0.46,6,5,1
0.98,0.53,7,8,1
0.4,0.89,3,6,0
0.26,0.81,3,5,0
0.81,0.37,3,9,0
0.69,0.6,2,7,1
0.55,0.32,6,8,1
0.6,0.64,3,1,0
0.75,0.76,5,2,0
0.31,0.38,7,8,0
1.0,0.5,4,9,0
0.98,0.58,4,4,0
0.69,0.94,3,10,0
0.28,1.0,4,10,0
0.71,0.33,4,9,0
0.16,0.83,2,4,0
0.13,0.56,5,10,1
0.33,0.57,5,10,0
0.52,0.83,2,10,1
0.88,0.94,2,9,0
0.75,0.97,4,7,0
0.77,0.7,6,2,0
0.48,0.55,7,9,1
0.41,0.85,7,4,1
0.43,0.48,4,8,0
0.99,0.69,7,7,0
0.14,0.55,2,7,0
0.88,0.76,5,8,0
0.62,0.47,7,1,0
0.49,0.43,4,5,0
0.75,0.94,6,2,0
0.54,0.37,4,2,0
0.89,0.65,3,1,0
0.91,0.45,4,5,0
0.48,0.33,2,2,0
0.35,0.33,5,4,0
0.63,0.42,5,3,0
0.92,0.91,7,3,1
0.29,0.5,2,2,0
0.66,0.97,3,6,0
0.67,0.71,2,2,1
0.76,0.61,4,8,0
0.22,0.71,2,8,0
0.74,0.66,2,5,0
0.92,0.83,3,10,1
0.26,0.5,4,7,1
0.31,0.55,6,4,1
0.97,0.93,6,1,0
0.26,0.96,5,2,0
0.87,0.92,7,10,0
0.54,0.59,2,10,0
0.32,0.85,5,4,0
0.88,0.63,3,1,0
0.5,0.65,6,8,1
0.56,0.44,2,9,0
0.42,0.71,3,4,0
0.63,0.43,7,10,0
0.25,0.53,3,3,1
0.45,0.9,2,2,0
0.97,0.44,7,5,0
0.33,0.35,3,3,0
0.69,0.35,7,10,0
0.39,0.96,2,7,1
0.8,0.65,2,6,0
0.22,0.59,7,1,0
0.97,0.87,4,8,0
0.51,0.89,5,2,0
0.31,0.53,3,5,1
0.17,0.79,3,9,0
0.25,0.84,4,8,0
0.57,0.76,4,2,0
0.4,0.41,4,9,0
0.85,0.91,6,5,1
0.49,0.68,6,10,0
0.32,0.5,7,6,1
0.66,0.6,6,3,0
0.74,0.33,2,3,0
0.25,0.39,7,10,0
0.25,0.84,3,8,0
0.13,0.3,5,10,1
0.76,0.59,2,10,0
0.7,0.67,3,2,0
0.53,0.34,3,2,0
0.86,0.98,7,5,0
0.83,0.46,4,6,0
0.63,0.51,4,2,0
0.88,0.51,2,5,0
0.29,0.46,4,7,0
0.2,0.3,3,10,1
0.34,0.81,4,10,0
0.15,0.98,6,8,1
0.58,0.46,4,7,0
0.94,0.76,3,8,0
0.14,0.82,7,9,1
0.21,0.89,2,5,0
0.51,0.6,5,5,0
0.94,0.51,4,10,0
0.38,0.53,3,4,0
0.56,0.8,5,9,0
0.14,0.87,5,5,0
0.23,0.43,6,2,1
0.99,0.56,5,10,0
0.97,0.93,7,8,0
0.1,0.86,3,7,0
0.96,0.99,3,8,0
0.68,0.83,4,3,0
0.88,0.58,4,4,0
0.51,0.71,4,5,1
0.56,0.76,7,6,0
0.54,0.35,5,1,0
0.7,0.68,5,4,1
0.23,0.8,6,10,1
0.13,0.42,7,5,1
0.38,0.85,4,7,1
0.73,0.71,2,5,0
0.28,0.97,6,1,1
0.71,0.33,2,7,0
0.97,0.49,5,8,0
0.18,0.72,6,7,0
0.71,0.51,6,4,0
0.5,0.8,3,8,0
0.88,0.83,5,5,0
0.26,0.37,5,10,0
0.72,0.66,7,9,0
0.85,0.66,6,10,0
0.95,0.56,5,5,0
0.71,0.95,6,1,0
0.55,0.88,7,9,1
0.66,0.79,7,5,1
0.88,0.8,3,6,0
0.61,0.62,6,4,0
0.13,0.94,5,6,1
0.94,0.79,5,8,0
0.72,0.81,6,3,0
0.71,0.9,6,5,0
0.29,0.49,6,2,1
0.69,0.86,4,2,0
0.45,0.44,5,7,0
0.69,0.54,7,10,0
0.2,0.53,5,10,1
0.69,0.98,4,10,0
1.0,0.9,6,6,0
0.14,0.79,3,4,0
0.98,0.81,6,5,0
0.47,0.69,6,1,0
0.88,0.96,4,7,0
0.8,0.65,5,8,1
0.61,0.57,6,9,0
0.76,0.41,5,8,0
0.89,0.85,2,5,0
0.46,0.81,7,3,0
0.39,0.57,5,10,0
0.7,0.32,3,9,0
0.83,0.89,7,6,0
0.79,0.31,3,5,0
0.82,0.79,6,3,0
0.49,0.98,7,6,1
0.84,0.61,5,3,0
0.21,0.46,7,10,1
0.59,0.79,6,6,1
0.11,0.87,4,4,0
0.39,0.68,3,2,0
0.43,0.98,6,8,1
0.46,0.34,4,4,0
0.73,0.65,7,9,0
0.45,0.8,7,7,1
0.5,0.9,6,2,0
0.31,0.43,5,4,0
0.44,0.86,7,5,0
0.3,0.69,5,3,1
0.17,0.58,5,9,1
0.64,0.39,5,5,0
0.7,0.91,2,2,0
0.66,0.41,4,3,1
0.52,0.52,4,9,0
0.44,0.5,7,7,0
0.88,0.91,7,2,0
